score_name,high_risk_fraction_target,risk_threshold,n_high_risk,observed_high_risk_fraction,mean_error_high_risk,mean_error_not_high_risk,high_vs_not_high_error_gap,high_risk_error_enrichment_vs_full,top20_true_error_capture_fraction,top20_true_error_precision,full_mean_error
risk_score,0.05,0.7198582443450223,60,0.05,0.5336508073536985,0.5025671297748587,0.031083677578839786,1.0585761658952135,0.0625,0.25,0.5041213136538005
risk_score,0.1,0.6681478314570848,120,0.1,0.56622169792395,0.49722127095711727,0.06900042696683278,1.1231853972212653,0.14583333333333334,0.2916666666666667,0.5041213136538005
risk_score,0.2,0.6116805075156844,240,0.2,0.5567864479424617,0.4909550300816353,0.06583141786082636,1.1044691681590522,0.2875,0.2875,0.5041213136538005
risk_score,0.3,0.5699199058130399,360,0.3,0.545163755760935,0.48653169560788584,0.05863206015304917,1.0814138204347374,0.38333333333333336,0.25555555555555554,0.5041213136538005
local_uncertainty_risk_score,0.05,0.7339285773911622,60,0.05,0.5713117101590657,0.5005849769956286,0.07072673316343703,1.1332821975295562,0.08333333333333333,0.3333333333333333,0.5041213136538005
local_uncertainty_risk_score,0.1,0.6777079836970068,120,0.1,0.5732741055416694,0.49643767011070405,0.0768364354309653,1.1371749021811022,0.16666666666666666,0.3333333333333333,0.5041213136538005
local_uncertainty_risk_score,0.2,0.6139017767371207,240,0.2,0.5687517655351095,0.48796370068347344,0.08078806485163609,1.128204164614419,0.31666666666666665,0.31666666666666665,0.5041213136538005
local_uncertainty_risk_score,0.3,0.5665418582673594,360,0.3,0.5682591390065528,0.47663367421690683,0.09162546478964595,1.127226966239317,0.4791666666666667,0.3194444444444444,0.5041213136538005
reference_risk_score,0.05,0.7569588254172374,60,0.05,0.5556237014917697,0.5014106616623285,0.054213039829441145,1.1021626867245249,0.06666666666666667,0.26666666666666666,0.5041213136538005
reference_risk_score,0.1,0.7153460712585546,120,0.1,0.5411528225711785,0.5000067015518697,0.04114612101930881,1.073457534752853,0.11666666666666667,0.23333333333333334,0.5041213136538005
reference_risk_score,0.2,0.6500663255169773,240,0.2,0.5490767593537996,0.49288245222880084,0.05619430712499879,1.0891758481191132,0.25833333333333336,0.25833333333333336,0.5041213136538005
reference_risk_score,0.3,0.5999989158847133,360,0.3,0.5508012071692252,0.48411564500433285,0.06668556216489235,1.092596548194115,0.4125,0.275,0.5041213136538005
