celltype,n_reference_cells,in_source_celltype_order,passes_min_cells,retained_before_split,n_train_signature_cells,n_heldout_simulation_cells,retained_after_split,exclusion_reason
Oligo_01,28085,True,True,True,13022,15063,True,retained
Inhib_04,6018,True,True,True,3701,2317,True,retained
Excit_01,5879,True,True,True,2819,3060,True,retained
Oligo_02,5631,True,True,True,2756,2875,True,retained
MicroOligo,5541,True,True,True,2957,2584,True,retained
Astro,3557,True,True,True,1844,1713,True,retained
Excit_07,3198,True,True,True,1588,1610,True,retained
Excit_08,2851,True,True,True,1274,1577,True,retained
Inhib_03,2242,True,True,True,1246,996,True,retained
OPC,1791,True,True,True,797,994,True,retained
Excit_11,1732,True,True,True,970,762,True,retained
Excit_10,1581,True,True,True,761,820,True,retained
EndoMural,1330,True,True,True,804,526,True,retained
Inhib_05,1311,True,True,True,558,753,True,retained
Excit_12,1292,True,True,True,573,719,True,retained
Excit_04,1188,True,True,True,525,663,True,retained
Excit_02,1058,True,True,True,545,513,True,retained
Excit_09,896,True,True,True,437,459,True,retained
Excit_06,633,True,True,True,331,302,True,retained
Excit_03,548,True,True,True,268,280,True,retained
Inhib_02,461,True,True,True,206,255,True,retained
Excit_13,295,True,True,True,112,183,True,retained
Inhib_06,249,True,True,True,125,124,True,retained
Inhib_01,132,True,True,True,51,81,True,retained
Excit_05,82,True,True,True,53,29,True,retained
drop_01,11,False,False,False,0,0,False,below_min_cells_per_type
drop_04,7,False,False,False,0,0,False,below_min_cells_per_type
drop_02,3,False,False,False,0,0,False,below_min_cells_per_type
drop_03,2,False,False,False,0,0,False,below_min_cells_per_type
